Track Name,Album Name,Artist Name,Duration (ms),Popularity,Spotify URL
"Sajni (From ""Laapataa Ladies"")","Sajni (From ""Laapataa Ladies"")","Ram Sampath, Arijit Singh, Prashant Pandey",170044,79,https://open.spotify.com/track/5zCnGtCl5Ac5zlFHXaZmhy
Apna Bana Le,Bhediya (Original Motion Picture Soundtrack),"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",261702,74,https://open.spotify.com/track/1hA697u7e1jX2XM8sWA6Uy
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon",284779,77,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
"Satranga (From ""ANIMAL"")","Satranga (From ""ANIMAL"")","Arijit Singh, Shreyas Puranik, Siddharth - Garima",271169,77,https://open.spotify.com/track/3yHyiUDJdz02FZ6jfUbsmY
Heeriye (feat. Arijit Singh),Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",194857,76,https://open.spotify.com/track/5PUXKVVVQ74C3gl5vKy9Li
O Maahi,Dunki,"Pritam, Arijit Singh, Irshad Kamil",233453,71,https://open.spotify.com/track/6bmmHeCvZI92pRiTHxEdTC
"Humdard (From ""Ek Villain"")",Ultimate Love Songs - Arijit Singh,Arijit Singh,260590,74,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq
Tum Hi Ho,Aashiqui 2,"Mithoon, Arijit Singh",261974,74,https://open.spotify.com/track/56zZ48jdyY2oDXHVnwg5Di
"Agar Tum Saath Ho (From ""Tamasha"")",Love Forever With Arijit Singh,"Alka Yagnik, Arijit Singh",341054,69,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu
"Tainu Khabar Nahi - From ""Munjya""","Tainu Khabar Nahi (From ""Munjya"")","Sachin-Jigar, Arijit Singh",188166,74,https://open.spotify.com/track/5npFBWhVs3VVlc0nY5xQMA
